"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-01","0.00","0.0",,,"79","49",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-02","0.00","0.0",,,"77","51",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-03","0.00","0.0",,,"73","46",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-04","0.04","0.0",,,"76","49",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-05","0.00","0.0",,,"80","51",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-06","0.00","0.0",,,"81","54",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-07","0.00","0.0",,,"82","54",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-08","0.02","0.0",,,"84","53",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-09","0.00","0.0",,,"76","62",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-10","0.04","0.0",,,"69","51",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-12","0.02","0.0",,,"56","38",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-15","0.06","0.0",,,"62","40",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-16","0.00","0.0",,,"63","49",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-17","0.00","0.0",,,"69","44",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-18","0.00","0.0",,,"71","44",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-19","0.16","0.0",,,"69","47",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-20","0.15","0.0",,,"73","56",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-21","0.22","0.0",,,"67","56",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-22","0.26","0.0",,,"74","55",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-23","0.27","0.0",,,"72","50",,
"CA007025251","MONTREAL INTERNATIONAL A, QC CA","2013-05-24","0.35","0.0",,,"52","45",,
